TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.010000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
4.612422e-03, 2.160706e-04, 4.082305e-06, 1.764139e-04, 0, 2.915932e-06, 3.120047e-05, 1.457966e-06, 0, 7.015196e-01, 9.774866e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.678419, 1.509345e-03, 0.000000, 0.000000 
4.839573e-03, 2.271511e-04, 2.915932e-06, 1.880776e-04, 0, 2.041153e-06, 3.265844e-05, 1.457966e-06, 0, 7.003963e-01, 9.755797e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.678987, 1.545837e-03, 0.000000, 0.000000 
5.040480e-03, 2.009077e-04, 2.915932e-06, 1.679577e-04, 0, 1.749559e-06, 2.711817e-05, 1.166373e-06, 0, 6.991677e-01, 9.736637e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.671133, 1.504341e-03, 0.000000, 0.000000 
5.176946e-03, 1.364656e-04, 2.624339e-06, 1.105138e-04, 0, 1.749559e-06, 2.070312e-05, 8.747797e-07, 0, 6.979782e-01, 9.718327e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.693723, 1.510364e-03, 0.000000, 0.000000 
5.455709e-03, 2.787631e-04, 4.082305e-06, 2.315250e-04, 0, 2.332746e-06, 3.965668e-05, 1.166373e-06, 0, 6.964955e-01, 9.692899e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.738807, 1.549262e-03, 0.000000, 0.000000 
5.704730e-03, 2.490206e-04, 2.915932e-06, 2.084892e-04, 0, 2.332746e-06, 3.382481e-05, 1.457966e-06, 0, 6.952236e-01, 9.670387e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.672289, 1.503120e-03, 0.000000, 0.000000 
5.997198e-03, 2.924680e-04, 3.207525e-06, 2.461047e-04, 0, 2.915932e-06, 3.936508e-05, 8.747797e-07, 0, 6.941267e-01, 9.651850e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.732284, 1.539797e-03, 0.000000, 0.000000 
6.213852e-03, 2.166538e-04, 3.499119e-06, 1.767055e-04, 0, 1.749559e-06, 3.265844e-05, 2.041153e-06, 0, 6.928719e-01, 9.629369e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.683158, 1.486594e-03, 0.000000, 0.000000 
6.381518e-03, 1.676661e-04, 3.790712e-06, 1.364656e-04, 0, 2.624339e-06, 2.391064e-05, 8.747797e-07, 0, 6.917914e-01, 9.611385e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.675591, 1.482131e-03, 0.000000, 0.000000 
6.596422e-03, 2.149042e-04, 3.499119e-06, 1.743727e-04, 0, 2.624339e-06, 3.353322e-05, 8.747797e-07, 0, 6.907439e-01, 9.593794e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.666110, 1.508336e-03, 0.286885, 0.000000 
6.762922e-03, 1.664997e-04, 3.207525e-06, 1.344245e-04, 0, 2.041153e-06, 2.595180e-05, 8.747797e-07, 0, 6.895749e-01, 9.575974e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.660793, 1.519531e-03, 0.000000, 0.000000 
7.009901e-03, 2.469795e-04, 3.790712e-06, 2.166538e-04, 0, 1.749559e-06, 2.391064e-05, 8.747797e-07, 0, 6.884121e-01, 9.558555e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.720536, 1.503251e-03, 0.000000, 0.000000 
7.227430e-03, 2.175285e-04, 2.041153e-06, 1.796214e-04, 0, 1.749559e-06, 3.295003e-05, 1.166373e-06, 0, 6.872139e-01, 9.537575e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.662945, 1.496870e-03, 0.000000, 0.000000 
7.463620e-03, 2.361905e-04, 2.332746e-06, 2.081976e-04, 0, 1.457966e-06, 2.332746e-05, 8.747797e-07, 0, 6.861596e-01, 9.519754e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.662751, 1.489210e-03, 0.000000, 0.000000 
7.733052e-03, 2.694321e-04, 6.123458e-06, 2.181117e-04, 0, 3.790712e-06, 3.878190e-05, 2.624339e-06, 0, 6.851182e-01, 9.502353e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.687403, 1.471895e-03, 0.000000, 0.000000 
8.009191e-03, 2.761388e-04, 3.790712e-06, 2.207361e-04, 0, 2.915932e-06, 4.723810e-05, 1.457966e-06, 0, 6.837223e-01, 9.478405e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.680405, 1.487229e-03, 0.000000, 0.000000 
8.260836e-03, 2.516450e-04, 3.207525e-06, 2.067396e-04, 0, 2.332746e-06, 3.849031e-05, 8.747797e-07, 0, 6.823179e-01, 9.454751e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.665977, 1.440956e-03, 0.000000, 0.000000 
8.410423e-03, 1.495873e-04, 2.332746e-06, 1.221776e-04, 0, 1.749559e-06, 2.245268e-05, 8.747797e-07, 0, 6.809650e-01, 9.432787e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.676394, 1.470035e-03, 0.000000, 0.000000 
8.574299e-03, 1.638754e-04, 3.207525e-06, 1.306338e-04, 0, 1.749559e-06, 2.682658e-05, 1.457966e-06, 0, 6.799240e-01, 9.415473e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.653029, 1.508528e-03, 0.000000, 0.000000 
8.725344e-03, 1.510453e-04, 2.624339e-06, 1.233439e-04, 0, 2.041153e-06, 2.216108e-05, 8.747797e-07, 0, 6.788031e-01, 9.399171e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.714823, 1.514867e-03, 0.306011, 0.000000 
8.962992e-03, 2.376485e-04, 3.207525e-06, 1.915767e-04, 0, 2.332746e-06, 3.965668e-05, 8.747797e-07, 0, 6.776254e-01, 9.378216e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.675355, 1.464601e-03, 0.000000, 0.000000 
9.202682e-03, 2.396896e-04, 3.790712e-06, 1.997414e-04, 0, 1.749559e-06, 3.324163e-05, 1.166373e-06, 0, 6.765964e-01, 9.360678e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.670763, 1.460338e-03, 0.000000, 0.000000 
9.363058e-03, 1.603763e-04, 2.915932e-06, 1.300506e-04, 0, 2.041153e-06, 2.449383e-05, 8.747797e-07, 0, 6.752518e-01, 9.338175e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.647946, 1.498868e-03, 0.000000, 0.000000 
9.617328e-03, 2.542693e-04, 3.499119e-06, 2.186949e-04, 0, 2.041153e-06, 2.915932e-05, 8.747797e-07, 0, 6.741501e-01, 9.322151e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.705985, 1.487522e-03, 0.000000, 0.000000 
9.796657e-03, 1.793298e-04, 2.624339e-06, 1.460882e-04, 0, 1.749559e-06, 2.799295e-05, 8.747797e-07, 0, 6.730102e-01, 9.302089e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.657045, 1.432148e-03, 0.000000, 0.000000 
9.968406e-03, 1.717484e-04, 2.332746e-06, 1.446302e-04, 0, 1.749559e-06, 2.216108e-05, 8.747797e-07, 0, 6.716996e-01, 9.280504e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.643940, 1.471104e-03, 0.000000, 0.000000 
1.013403e-02, 1.656249e-04, 3.207525e-06, 1.341329e-04, 0, 2.332746e-06, 2.478542e-05, 1.166373e-06, 0, 6.706198e-01, 9.264219e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.657952, 1.475119e-03, 0.000000, 0.000000 
1.034777e-02, 2.137378e-04, 2.624339e-06, 1.769971e-04, 0, 2.332746e-06, 3.090888e-05, 8.747797e-07, 0, 6.692730e-01, 9.242365e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.647445, 1.483388e-03, 0.000000, 0.000000 
1.049065e-02, 1.428807e-04, 2.624339e-06, 1.166373e-04, 0, 2.041153e-06, 2.099471e-05, 5.831864e-07, 0, 6.682866e-01, 9.225992e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.654367, 1.418678e-03, 0.000000, 0.000000 
1.065219e-02, 1.615426e-04, 2.915932e-06, 1.358824e-04, 0, 1.749559e-06, 2.011993e-05, 8.747797e-07, 0, 6.669832e-01, 9.204497e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.655370, 1.433162e-03, 0.300546, 0.000000 
1.082073e-02, 1.685409e-04, 3.499119e-06, 1.367572e-04, 0, 2.624339e-06, 2.478542e-05, 8.747797e-07, 0, 6.656779e-01, 9.182987e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.640990, 1.548566e-03, 0.000000, 0.000000 
1.098782e-02, 1.670829e-04, 2.041153e-06, 1.382152e-04, 0, 1.749559e-06, 2.420224e-05, 8.747797e-07, 0, 6.645895e-01, 9.167596e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.646247, 1.455894e-03, 0.000000, 0.000000 
1.116219e-02, 1.743727e-04, 2.041153e-06, 1.463798e-04, 0, 1.457966e-06, 2.391064e-05, 5.831864e-07, 0, 6.632791e-01, 9.146327e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.634901, 1.486284e-03, 0.000000, 0.000000 
