TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=1000, lr=1.000000, lambda=0.000000e+00, n=145, n0=8, n1=10, n2=5, sub_tol=0.001000, sub_maxit=20, tol=1.000000e-08, m=10368 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
4.806323e+02, 4.037572e+00, 0, 1.432423e-02, 0, 3.719653e+00, 3.035553e-01, 3.878191e-05, 1.606267e-02, 1.912188e-08, 1.000048e+00, -0.000039, 5.000000e-01, 1, 0.016063, 1.912188e-08, 0.000000, 0.000000 
4.856628e+02, 5.030505e+00, 0, 1.217373e-02, 0, 4.714302e+00, 3.039910e-01, 3.819872e-05, 1.602326e-02, 1.549562e-08, 1.000056e+00, -0.000077, 1.000000e+00, 1, 0.016023, 1.549562e-08, 0.000000, 0.000000 
4.900098e+02, 4.347014e+00, 0, 1.261112e-02, 0, 4.030749e+00, 3.036145e-01, 3.878191e-05, 1.594609e-02, 1.716252e-08, 1.000046e+00, -0.000038, 5.000000e-01, 1, 0.015946, 1.716252e-08, 0.983121, 0.979552 
4.963794e+02, 6.369574e+00, 0, 1.346899e-02, 0, 6.050824e+00, 3.052419e-01, 3.907350e-05, 1.590811e-02, 1.591405e-08, 1.000033e+00, -0.000074, 1.000000e+00, 1, 0.015908, 1.591405e-08, 0.000000, 0.000000 
5.007480e+02, 4.368604e+00, 0, 1.326166e-02, 0, 4.047196e+00, 3.081129e-01, 3.353323e-05, 1.583392e-02, 3.207035e-08, 9.999005e-01, -0.000037, 5.000000e-01, 1, 0.015834, 3.207035e-08, 0.000000, 0.000000 
5.047972e+02, 4.049152e+00, 0, 1.360166e-02, 0, 3.725344e+00, 3.101602e-01, 4.694652e-05, 1.579677e-02, 1.707095e-08, 9.999792e-01, -0.000036, 5.000000e-01, 1, 0.015797, 1.707095e-08, 0.000000, 0.000000 
5.104232e+02, 5.626073e+00, 0, 1.306571e-02, 0, 5.307166e+00, 3.058018e-01, 3.907350e-05, 1.576037e-02, 1.547373e-08, 1.000113e+00, -0.000071, 1.000000e+00, 1, 0.015760, 1.547373e-08, 0.000000, 0.000000 
5.163268e+02, 5.903513e+00, 0, 1.357250e-02, 0, 5.585137e+00, 3.047701e-01, 3.324164e-05, 1.568904e-02, 2.109905e-08, 9.999723e-01, -0.000070, 1.000000e+00, 1, 0.015689, 2.109905e-08, 0.000000, 0.000000 
5.241147e+02, 7.787936e+00, 0, 1.267935e-02, 0, 7.461435e+00, 3.137783e-01, 4.257262e-05, 1.561887e-02, 1.640138e-08, 1.000040e+00, -0.000068, 1.000000e+00, 1, 0.015619, 1.640138e-08, 0.000000, 0.000000 
5.300034e+02, 5.888669e+00, 0, 1.299806e-02, 0, 5.555410e+00, 3.202167e-01, 4.432218e-05, 1.555052e-02, 2.427832e-08, 1.000088e+00, -0.000067, 1.000000e+00, 1, 0.015551, 2.427832e-08, 0.000000, 0.000000 
5.358055e+02, 5.802174e+00, 0, 1.314065e-02, 0, 5.478057e+00, 3.109423e-01, 3.353323e-05, 1.548305e-02, 1.283502e-08, 1.000023e+00, -0.000033, 5.000000e-01, 1, 0.015483, 1.283502e-08, 0.000000, 0.000000 
5.401419e+02, 4.336369e+00, 0, 1.233760e-02, 0, 4.005045e+00, 3.189445e-01, 4.228103e-05, 1.545006e-02, 1.811630e-08, 9.999670e-01, -0.000033, 5.000000e-01, 1, 0.015450, 1.811630e-08, 0.000000, 0.000000 
5.451928e+02, 5.050857e+00, 0, 1.231894e-02, 0, 4.732745e+00, 3.057478e-01, 4.490537e-05, 1.541725e-02, 1.450655e-08, 1.000011e+00, -0.000032, 5.000000e-01, 1, 0.015417, 1.450655e-08, 0.983410, 0.979552 
5.499418e+02, 4.749066e+00, 0, 1.286568e-02, 0, 4.431100e+00, 3.050629e-01, 3.703235e-05, 1.538479e-02, 1.266790e-08, 9.999738e-01, -0.000032, 5.000000e-01, 1, 0.015385, 1.266790e-08, 0.000000, 0.000000 
5.552225e+02, 5.280705e+00, 0, 1.299194e-02, 0, 4.961561e+00, 3.061129e-01, 3.878191e-05, 1.535278e-02, 1.659371e-08, 1.000032e+00, -0.000032, 5.000000e-01, 1, 0.015353, 1.659371e-08, 0.000000, 0.000000 
5.607628e+02, 5.540236e+00, 0, 1.288405e-02, 0, 5.224234e+00, 3.030856e-01, 3.265845e-05, 1.532090e-02, 1.237954e-08, 1.000016e+00, -0.000031, 5.000000e-01, 1, 0.015321, 1.237954e-08, 0.000000, 0.000000 
5.672881e+02, 6.525345e+00, 0, 1.223467e-02, 0, 6.206926e+00, 3.061429e-01, 4.140625e-05, 1.528948e-02, 1.564140e-08, 1.000012e+00, -0.000031, 5.000000e-01, 1, 0.015289, 1.564140e-08, 0.000000, 0.000000 
5.724020e+02, 5.113881e+00, 0, 1.352147e-02, 0, 4.796334e+00, 3.039869e-01, 3.936510e-05, 1.525825e-02, 1.223862e-08, 1.000010e+00, -0.000031, 5.000000e-01, 1, 0.015258, 1.223862e-08, 0.983603, 0.979552 
5.807563e+02, 8.354288e+00, 0, 1.372792e-02, 0, 8.033468e+00, 3.070355e-01, 5.627751e-05, 1.522741e-02, 1.344479e-08, 1.000008e+00, -0.000030, 5.000000e-01, 1, 0.015227, 1.344479e-08, 0.000000, 0.000000 
5.858408e+02, 5.084561e+00, 0, 1.261491e-02, 0, 4.764816e+00, 3.070912e-01, 3.849032e-05, 1.519691e-02, 1.774945e-08, 9.999778e-01, -0.000030, 5.000000e-01, 1, 0.015197, 1.774945e-08, 0.000000, 0.000000 
5.907807e+02, 4.939890e+00, 0, 1.312112e-02, 0, 4.610312e+00, 3.164228e-01, 3.382482e-05, 1.516662e-02, 1.582856e-08, 9.999939e-01, -0.000030, 5.000000e-01, 1, 0.015167, 1.582856e-08, 0.000000, 0.000000 
5.964474e+02, 5.666655e+00, 0, 1.270035e-02, 0, 5.347668e+00, 3.062470e-01, 3.994828e-05, 1.513659e-02, 1.260956e-08, 1.000022e+00, -0.000030, 5.000000e-01, 1, 0.015137, 1.260956e-08, 0.000000, 0.000000 
6.012796e+02, 4.832215e+00, 0, 1.228512e-02, 0, 4.508700e+00, 3.111776e-01, 5.306998e-05, 1.510689e-02, 1.167789e-08, 1.000016e+00, -0.000029, 5.000000e-01, 1, 0.015107, 1.167789e-08, 0.983603, 0.979552 
6.071319e+02, 5.852266e+00, 0, 1.301293e-02, 0, 5.530751e+00, 3.084611e-01, 4.053147e-05, 1.507748e-02, 1.147911e-08, 1.000058e+00, -0.000058, 1.000000e+00, 1, 0.015077, 1.147911e-08, 0.000000, 0.000000 
6.119255e+02, 4.793682e+00, 0, 1.270268e-02, 0, 4.469370e+00, 3.115529e-01, 5.686069e-05, 1.501951e-02, 1.162966e-08, 1.000013e+00, -0.000029, 5.000000e-01, 1, 0.015020, 1.162966e-08, 0.000000, 0.000000 
6.155353e+02, 3.609751e+00, 0, 1.275487e-02, 0, 3.276299e+00, 3.206503e-01, 4.636334e-05, 1.499094e-02, 1.189365e-08, 1.000002e+00, -0.000014, 2.500000e-01, 1, 0.014991, 1.189365e-08, 0.000000, 0.000000 
6.214562e+02, 5.920886e+00, 0, 1.413440e-02, 0, 5.595465e+00, 3.112534e-01, 3.324164e-05, 1.497675e-02, 1.155623e-08, 1.000013e+00, -0.000028, 5.000000e-01, 1, 0.014977, 1.155623e-08, 0.000000, 0.000000 
6.267160e+02, 5.259825e+00, 0, 1.206292e-02, 0, 4.944954e+00, 3.027747e-01, 3.265845e-05, 1.494858e-02, 1.085952e-08, 1.000018e+00, -0.000028, 5.000000e-01, 1, 0.014949, 1.085952e-08, 0.983603, 0.979552 
6.318730e+02, 5.156967e+00, 0, 1.229095e-02, 0, 4.824049e+00, 3.205861e-01, 4.082306e-05, 1.492068e-02, 1.075923e-08, 1.000020e+00, -0.000028, 5.000000e-01, 1, 0.014921, 1.075923e-08, 0.000000, 0.000000 
6.376367e+02, 5.763686e+00, 0, 1.246270e-02, 0, 5.445688e+00, 3.055006e-01, 3.440801e-05, 1.489304e-02, 1.113064e-08, 1.000010e+00, -0.000027, 5.000000e-01, 1, 0.014893, 1.113064e-08, 0.000000, 0.000000 
6.438108e+02, 6.174175e+00, 0, 1.278899e-02, 0, 5.855592e+00, 3.057589e-01, 3.528279e-05, 1.486575e-02, 1.647920e-08, 9.999267e-01, -0.000027, 5.000000e-01, 1, 0.014866, 1.647920e-08, 0.000000, 0.000000 
6.503248e+02, 6.513948e+00, 0, 1.237318e-02, 0, 6.199715e+00, 3.018250e-01, 3.411642e-05, 1.483865e-02, 1.821644e-08, 9.999919e-01, -0.000027, 5.000000e-01, 1, 0.014839, 1.821644e-08, 0.000000, 0.000000 
6.540229e+02, 3.698105e+00, 0, 1.305317e-02, 0, 3.381022e+00, 3.039895e-01, 3.965669e-05, 1.481166e-02, 1.033889e-08, 1.000004e+00, -0.000013, 2.500000e-01, 1, 0.014812, 1.033889e-08, 0.000000, 0.000000 
6.600637e+02, 6.040843e+00, 0, 1.270385e-02, 0, 5.724360e+00, 3.037457e-01, 3.411642e-05, 1.479832e-02, 1.031298e-08, 1.000006e+00, -0.000026, 5.000000e-01, 1, 0.014798, 1.031298e-08, 0.000000, 0.000000 
6.677455e+02, 7.681725e+00, 0, 1.227754e-02, 0, 7.366421e+00, 3.029943e-01, 3.295004e-05, 1.477187e-02, 1.414121e-08, 1.000013e+00, -0.000052, 1.000000e+00, 1, 0.014772, 1.414121e-08, 0.000000, 0.000000 
6.717564e+02, 4.010970e+00, 0, 1.285081e-02, 0, 3.696238e+00, 3.018402e-01, 4.111466e-05, 1.471961e-02, 1.289593e-08, 1.000001e+00, -0.000013, 2.500000e-01, 1, 0.014720, 1.289593e-08, 0.000000, 0.000000 
6.792702e+02, 7.513815e+00, 0, 1.327070e-02, 0, 7.200167e+00, 3.003364e-01, 4.111466e-05, 1.470665e-02, 9.990726e-09, 1.000014e+00, -0.000026, 5.000000e-01, 1, 0.014707, 9.990726e-09, 0.983796, 0.979552  
0.983796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
