TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=1000, lr=1.000000, lambda=0.000000e+00, n=145, n0=8, n1=10, n2=5, sub_tol=0.001000, sub_maxit=20, tol=1.000000e-08, m=10368 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
2.991825e+01, 6.543887e-01, 0, 1.208713e-02, 0, 5.730071e-01, 6.912365e-02, 1.708737e-04, 2.218416e-01, 3.975427e-06, -2.260433e-01, -0.093340, 1.000000e+00, 1, 0.221842, 3.975427e-06, 0.000000, 0.000000 
3.057671e+01, 6.584515e-01, 0, 1.206176e-02, 0, 5.754358e-01, 7.075278e-02, 2.011994e-04, 2.218416e-01, 3.975427e-06, 1.318017e-01, -0.036741, 5.000000e-01, 1, 0.221842, 3.975427e-06, 0.000000, 0.000000 
3.123970e+01, 6.629922e-01, 0, 1.166723e-02, 0, 5.816747e-01, 6.938055e-02, 2.697238e-04, 2.218416e-01, 3.975427e-06, 8.154826e-01, -0.016486, 1.000000e+00, 1, 0.221842, 3.975427e-06, 0.000000, 0.000000 
3.273944e+01, 1.499739e+00, 0, 1.203435e-02, 0, 1.385148e+00, 1.022335e-01, 3.233770e-04, 2.083978e-01, 2.951238e-06, 9.528365e-01, -0.019254, 2.000000e+00, 1, 0.208398, 2.951238e-06, 0.000000, 0.000000 
3.559511e+01, 2.855673e+00, 0, 1.228133e-02, 0, 2.715606e+00, 1.275648e-01, 2.210277e-04, 1.900515e-01, 1.892745e-06, 9.566768e-01, -0.034323, 4.000000e+00, 1, 0.190052, 1.892745e-06, 0.000000, 0.000000 
4.138119e+01, 5.786077e+00, 0, 1.164215e-02, 0, 5.590176e+00, 1.841697e-01, 8.922755e-05, 1.572159e-01, 1.497010e-06, 3.405261e-01, -0.043771, 4.000000e+00, 1, 0.157216, 1.497010e-06, 0.000000, 0.000000 
4.236466e+01, 9.834693e-01, 0, 1.310100e-02, 0, 8.686422e-01, 1.014118e-01, 3.143376e-04, 1.423109e-01, 4.583733e-06, 9.411685e-01, -0.005356, 4.000000e+00, 0, 0.142311, 4.583733e-06, 0.000000, 0.000000 
4.726225e+01, 4.897597e+00, 0, 1.284702e-02, 0, 4.719532e+00, 1.648324e-01, 3.863611e-04, 1.372696e-01, 3.620278e-06, 1.016326e+00, -0.002026, 4.000000e+00, 0, 0.137270, 3.620278e-06, 0.000000, 0.000000 
4.868031e+01, 1.418060e+00, 0, 1.538330e-02, 0, 1.273619e+00, 1.287694e-01, 2.886774e-04, 1.352101e-01, 2.835617e-06, 1.002016e+00, -0.000988, 4.000000e+00, 0, 0.135210, 2.835617e-06, 0.890721, 0.891975 
1.170375e+02, 6.835724e+01, 0, 1.829311e-02, 0, 6.816070e+01, 1.767819e-01, 1.460882e-03, 1.342202e-01, 2.670294e-06, 9.889928e-01, -0.000897, 4.000000e+00, 0, 0.134220, 2.670294e-06, 0.000000, 0.000000 
1.187927e+02, 1.755178e+00, 0, 1.487272e-02, 0, 1.612962e+00, 1.271618e-01, 1.816626e-04, 1.333333e-01, 2.635789e-06, 1.008435e+00, -0.000807, 4.000000e+00, 0, 0.133333, 2.635789e-06, 0.000000, 0.000000 
1.393181e+02, 2.052538e+01, 0, 1.201306e-02, 0, 2.031505e+01, 1.980225e-01, 2.907185e-04, 1.325191e-01, 2.404415e-06, 1.143623e-01, -0.012233, 2.000000e+00, 0, 0.132519, 2.404415e-06, 0.000000, 0.000000 
1.435499e+02, 4.231789e+00, 0, 1.292371e-02, 0, 4.048938e+00, 1.697359e-01, 1.921600e-04, 1.325191e-01, 2.404415e-06, 1.672656e-01, -0.027051, 1.000000e+00, 1, 0.132519, 2.404415e-06, 0.000000, 0.000000 
1.451221e+02, 1.572164e+00, 0, 1.370255e-02, 0, 1.403868e+00, 1.544873e-01, 1.058484e-04, 1.325191e-01, 2.404415e-06, 7.925524e-01, -0.014794, 1.000000e+00, 1, 0.132519, 2.404415e-06, 0.000000, 0.000000 
